asin,product_name,brand,price,type,connectivity,noise_cancellation,battery_life,bluetooth_version,driver_size,weight,water_resistance,microphone,review_rating,review_count,description
B0BR9PWNKQ,"RUNOLIM Hybrid Active Noise Cancelling Headphones, 70H Playtime, Built-in Microphone, Bluetooth Wireless Over Ear Foldable Headphones with HiFi Audio, Home Travel Office",21,22.49,6,2,1,70.0,5.0,50.0,8.1,7,2,4.4,6454.0,"RUNOLIM, the epitome of sonic excellence. Our passion for music led us on a quest to redefine the headphone. We blend cutting-edge technology with meticulous craftsmanship to create headphones that deliver captivating sound and timeless style."
B0BY28WWFB,"iClever 2Pack Kids Headphones with Sharing Splitter - 85dBA Safe Volume Limited - HS22 Wired Headphones for Kids Teens, Tangle-Free 3.5mm Jack Foldable Stereo Headphone for School/Tablet/Travel",30,27.98,4,1,2,43.0,5.3,40.0,14.8,7,2,4.6,4851.0,"These wired headphones support devices with 3.5mm audio jack like Chromebook, Kindle Fire Tablet, Switch, iPad, Laptop, PC and more."
B0BPL7RQNX,"KVIDIO Bluetooth Headphones Over Ear, 65 Hours Playtime Wireless Headphones with Microphone, Foldable Lightweight Headset with Deep Bass, HiFi Stereo Sound Low Latency for Laptop PC Cellphone",15,23.99,6,2,2,65.0,5.3,40.0,7.0,7,2,4.5,29587.0,"Since our founding in 2014, we have focused on one mission: creating trustworthy audio headphones through expertise and passion."
B0CQ1HP3RX,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",13,59.95,4,2,2,57.0,5.3,50.0,5.5,7,2,4.6,7658.0,"The JBL Tune 520BT headphones stream powerful JBL Pure Bass sound for up to 57 hours, thanks to the latest 5.3 BT technology."
B0CBL1TQMP,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (White)",13,59.95,4,2,2,57.0,5.3,40.0,5.5,5,2,4.6,7658.0,"The JBL Tune 520BT headphones stream powerful JBL Pure Bass sound for up to 57 hours, thanks to the latest 5.3 BT technology."
B07RZR3T8Q,"AMORNO Foldable Bluetooth Headphones Wireless Neckband Headset with Retractable Earbuds, Sports Sweatproof Noise Cancelling Stereo Earphones with Mic",1,29.79,3,2,1,38.0,5.0,40.0,3.04,7,1,4.0,7578.0,"The ergonomic neckband is durable and lightweight, you can enjoy your leisure time and forgetting the existence of the headphone, really set you hands free, maximize the portability of listening music on the go."
B0CDR9NG1H,"AMORNO Foldable Bluetooth Headphones Wireless Neckband Headset with Retractable Earbuds, Sports Sweatproof Noise Cancelling Stereo Earphones with Mic (Blue)",1,29.79,3,2,1,82.0,5.4,40.0,6.7,7,1,4.0,7578.0,"The ergonomic neckband is durable and lightweight, you can enjoy your leisure time and forgetting the existence of the headphone, really set you hands free, maximize the portability of listening music on the go."
B08MVGF24M,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Midnight Blue WH1000XM4",24,228.0,6,2,1,30.0,5.0,40.0,16.0,7,2,4.6,61070.0,Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear.
B0DRBSPHTB,"kurdene Wireless Earbuds Bluetooth Headphones Sport,Over Ear Buds with Deep Bass Sound,60Hrs Playtime Earphones Redesigned Comfort Fit with Earhooks for Running,Meeting,Workout-Mint Green",31,13.98,7,2,2,60.0,5.2,40.0,3.52,7,2,4.3,3488.0,"kurdene Wireless Earbuds Bluetooth Headphones Sport,Over Ear Buds with Deep Bass Sound,60Hrs Playtime Earphones Redesigned Comfort Fit with Earhooks for Running,Meeting,Workout-Mint Green"
B0DRDSMX41,"JLab Go Lux ANC Wireless Headphones, Cloud White, Hybrid Active Noise Cancelling, Premium On-Ear Bluetooth Headset, Customizable Sound, Be Aware Mode, Cloud Foam Comfort, Multipoint Connection",14,34.99,4,2,1,70.0,5.4,40.0,10.1,5,2,4.5,344.0,
